fighter,opponent,date,elo_before,elo_after,result,elo_trend
Alejandro Perez,Song Yadong,2019-07-06,1644.999219233458,1585.1079112496336,0.0,13.663638997512862
Alejandro Perez,Johnny Eduardo,2021-10-02,1563.8309334372252,1606.4392480964966,1.0,-114.65991897865615
Alejandro Perez,Jonathan Martinez,2022-02-26,1606.4392480964966,1556.020901937706,0.0,-104.13469178931769
Alekander Volkov,Greg Hardy,2019-11-09,1500.0,1556.189094947717,1.0,
Aleksa Camur,Justin Ledet,2020-01-18,1500.0,1550.240512474217,1.0,
Aleksa Camur,William Knight,2020-09-26,1550.240512474217,1495.3475071811542,0.0,
Aleksa Camur,Nicolae Negumereanu,2021-06-19,1495.3475071811542,1455.4500310174055,0.0,
Aleksa Camur,Tanner Boser,2023-08-05,1466.5875232630542,1415.1381385608686,0.0,-33.41247673694579
Aleksandar Rakic,Francimar Barroso,2017-09-02,1500.0,1559.3380244218565,1.0,
Aleksandar Rakic,Justin Ledet,2018-07-22,1559.3380244218565,1617.5428352516026,1.0,
Aleksandar Rakic,Devin Clark,2018-12-08,1617.5428352516026,1660.8507348744974,1.0,
Aleksandar Rakic,Jimi Manuwa,2019-06-01,1660.8507348744974,1700.367030574754,1.0,160.85073487449745
Aleksandar Rakic,Volkan Oezdemir,2019-12-21,1700.367030574754,1659.5566588816273,0.0,141.0290061528974
Aleksandar Rakic,Anthony Smith,2020-08-29,1659.5566588816273,1726.0543720174767,1.0,42.01382363002472
Aleksandar Rakic,Thiago Santos,2021-03-06,1726.0543720174767,1766.501680280093,1.0,65.20363714297923
Aleksandar Rakic,Jan Blachowicz,2022-05-14,1699.8762602100699,1663.663584806351,0.0,-0.4907703646840673
Aleksandar Rakic,Jiri Prochazka,2024-04-13,1622.7476886047634,1564.3345714414993,0.0,-36.808970276863874
Aleksandar Rakic,Magomed Ankalaev,2024-10-26,1564.3345714414993,1546.8419413861113,0.0,-161.7198005759774
Aleksandar Rakic,Azamat Murzakanov,2025-10-25,1546.8419413861113,1515.5355432193057,0.0,-153.03431882395853
Aleksandre Topuria,Colby Thicknesse,2025-02-08,1500.0,1548.0,1.0,
Aleksandre Topuria,Bekzat Almakhan,2025-11-22,1548.0,1594.854972143215,1.0,
Aleksei Kunchenko,Thiago Alves,2018-09-15,1500.0,1547.1589523263196,1.0,
Aleksei Kunchenko,Yushin Okami,2018-12-01,1547.1589523263196,1595.1711787758022,1.0,
Aleksei Kunchenko,Gilbert Burns,2019-08-10,1595.1711787758022,1561.5448779640737,0.0,
Aleksei Kunchenko,Elizeu Zaleski dos Santos,2020-03-14,1561.5448779640737,1534.4855050384463,0.0,61.54487796407375
Aleksei Oleinik,Anthony Hamilton,2014-06-28,1500.0,1560.0,1.0,
Aleksei Oleinik,Jared Rosholt,2014-11-22,1560.0,1635.538223487767,1.0,
Aleksei Oleinik,Daniel Omielanczuk,2016-07-13,1601.6536676158253,1548.824938537786,0.0,
Aleksei Oleinik,Viktor Pesta,2017-01-15,1548.824938537786,1583.1585883117466,1.0,48.82493853778601
Aleksei Oleinik,Travis Browne,2017-07-08,1583.1585883117466,1637.5531319162503,1.0,23.1585883117466
Aleksei Oleinik,Curtis Blaydes,2017-11-04,1637.5531319162503,1563.1260336475991,0.0,35.89946430042505
Aleksei Oleinik,Junior Albini,2018-05-12,1563.1260336475991,1611.3308164365467,1.0,14.301095109813105
Aleksei Oleinik,Mark Hunt,2018-09-15,1611.3308164365467,1674.043397902185,1.0,28.172228124800085
Aleksei Oleinik,Alistair Overeem,2019-04-20,1674.043397902185,1615.7938583355742,0.0,36.490265985934684
Aleksei Oleinik,Walt Harris,2019-07-20,1615.7938583355742,1551.9210901063773,0.0,52.6678246879751
