fighter,current_elo,last_fight_date,total_fights
Jimi Manuwa,1497.7617471017877,2019-06-01,12
Andy Ogle,1318.6031613006826,2015-01-24,6
Akira Corassani,1459.6399937678627,2015-01-24,6
Tom Watson,1409.550078785086,2015-08-08,7
Gunnar Nelson,1591.1917827277107,2025-03-22,16
Jay Hieron,1415.1803902171769,2013-02-02,2
Jussier Formiga,1599.8398244352263,2020-06-06,16
Phil Harris,1403.1179076792737,2014-07-19,4
Wagner Prado,1406.1230415051732,2013-01-19,2
Renee Forte,1403.2855434801565,2014-03-15,4
Jon Tuck,1484.5069522571723,2018-08-25,9
Motonobu Tezuka,1411.5181263132786,2013-02-16,2
Azamat Gashimov,1401.485347702642,2013-05-18,2
Abel Trujillo,1563.6242327505668,2017-12-16,10
Colin Fletcher,1404.0,2013-03-16,2
Norman Parke,1569.5675229466515,2016-02-27,8
Robert Whittaker,1727.2622178728807,2025-07-26,24
Bradley Scott,1436.1768762102995,2018-05-27,8
Brendan Loughnane,1452.0,2012-12-14,1
Mike Wilkinson,1511.0011775311493,2016-02-27,4
Benny Alloway,1446.3207004728001,2013-08-28,3
Manuel Rodriguez,1452.0,2012-12-14,1
Cody Donovan,1371.1999560433953,2014-07-19,4
Yaotzin Meza,1425.568093631698,2016-02-27,6
Colton Smith,1387.6611427874336,2014-06-28,4
Mike Ricci,1480.879724920177,2013-09-21,3
Vinc Pichel,1471.9869041388904,2025-03-29,12
Rustam Khabilov,1696.5207782281127,2019-11-09,13
Mike Rio,1394.9452919677733,2014-01-25,4
Derek Brunson,1644.503826747136,2023-03-04,21
Daniel Sarafian,1442.0990740460668,2016-02-21,6
Milton Vieira,1459.0578197843759,2013-01-19,1
Lucas Martins,1567.0318288267922,2016-04-10,7
Ildemar Alcantara,1480.4772144504846,2015-07-15,7
Sean Spencer,1401.1721860673151,2016-09-10,8
