fighter,cluster,archetype,current_age,cum_fights,career_win_rate_traj,career_finish_rate,win_rate_l5_vs_career,finish_rate_trend,fights_since_finish,longest_lose_streak_ever
Magomed Bibulatov,0,Fading Contender,29.0,24,0.875,0.5416666666666666,-0.07499999999999996,-0.3416666666666666,4.0,2
Magomed Gadzhiyasulov,2,Elite Finisher,29.0,10,1.0,0.6,0.0,-0.39999999999999997,3.0,0
Magomed Mustafaev,2,Elite Finisher,37.8,16,0.875,0.875,-0.07499999999999996,-0.07499999999999996,1.0,1
Maheshate,4,Active Performer,29.0,6,0.5,0.16666666666666666,-0.09999999999999998,0.033333333333333354,3.0,2
Maia Stevenson,2,Elite Finisher,44.1,15,0.8,0.7333333333333333,0.0,-0.1333333333333333,2.0,2
Maiquel Falcao,1,Veteran Contender,45.2,60,0.65,0.55,-0.45,-0.35000000000000003,3.0,4
Mairbek Taisumov,2,Elite Finisher,37.8,32,0.84375,0.75,0.15625,0.050000000000000044,0.0,1
Mairon Santos,2,Elite Finisher,29.0,18,0.9444444444444444,0.5,0.05555555555555558,-0.09999999999999998,2.0,1
Makhmud Muradov,0,Fading Contender,29.0,37,0.7567567567567568,0.5675675675675675,-0.15675675675675682,-0.36756756756756753,5.0,2
Maki Pitolo,4,Active Performer,35.5,27,0.5555555555555556,0.4074074074074074,-0.15555555555555556,-0.20740740740740737,2.0,4
Makwan Amirkhani,0,Fading Contender,29.0,30,0.6333333333333333,0.4666666666666667,-0.23333333333333328,-0.26666666666666666,0.0,4
Malcolm Gordon,0,Fading Contender,29.0,22,0.6363636363636364,0.5,-0.23636363636363633,-0.3,1.0,3
Malcolm Wellmaker,2,Elite Finisher,29.0,10,1.0,0.8,0.0,0.0,0.0,0
Mallory Martin,3,Veteran Contender,32.3,16,0.625,0.25,-0.025000000000000022,-0.25,5.0,3
Mana Martinez,0,Fading Contender,29.0,16,0.625,0.5,-0.425,-0.5,5.0,3
Mandy Bohm,0,Fading Contender,29.0,11,0.6363636363636364,0.36363636363636365,-0.23636363636363633,-0.16363636363636364,3.0,3
Manel Kape,2,Elite Finisher,29.0,28,0.75,0.6428571428571429,0.050000000000000044,-0.24285714285714288,0.0,2
Manny Bermudez,2,Elite Finisher,31.8,16,0.875,0.75,-0.275,-0.15000000000000002,1.0,2
Manoel Sousa,2,Elite Finisher,29.0,14,0.9285714285714286,0.7857142857142857,-0.12857142857142856,-0.3857142857142857,2.0,1
Manolo Zecchini,2,Elite Finisher,29.0,15,0.7333333333333333,0.6666666666666666,-0.1333333333333333,-0.06666666666666665,0.0,1
Manon Fiorot,0,Fading Contender,29.0,14,0.8571428571428571,0.42857142857142855,-0.05714285714285705,-0.42857142857142855,5.0,1
Mansur Abdul-Malik,2,Elite Finisher,29.0,11,0.9090909090909091,0.9090909090909091,-0.10909090909090902,-0.10909090909090902,1.0,1
Mantas Kondratavicius,2,Elite Finisher,29.0,9,0.8888888888888888,0.8888888888888888,-0.0888888888888888,-0.0888888888888888,0.0,1
