date,f1_name,f2_name,weight_class,no_of_rounds,m1_prob,m2a_prob,m2a_pick,pick_novig,gap,gap_size,gap_zone,gap_zone_label,gap_direction,closing_odds,m1_m2a_agree,vegas_agree,triple_agree,m2b_win_prob,m2b_confidence,pick_won,split,agreement_type
2021-07-17,Marion Reneau,Miesha Tate,Women's Bantamweight,3,24.58,24.58,Miesha Tate,62.11,13.31,13.31,6,Max Value,1,-180.0,1,1,1,,,1,train,CONFIRM_FAV
2021-07-17,Amanda Lemos,Montserrat Conejo,Women's Strawweight,3,65.66,65.66,Amanda Lemos,82.1,-16.44,16.44,6,Max Value,-1,-600.0,1,1,1,,,1,train,NO_EDGE
2021-07-24,Miranda Maverick,Maycee Barber,Women's Flyweight,3,31.37,31.37,Maycee Barber,41.18,27.45,27.45,6,Max Value,1,135.0,1,0,0,,,1,train,CONFIRM_DOG
2021-07-24,Diana Belbita,Hannah Goldy,Women's Strawweight,3,52.51,52.51,Diana Belbita,52.17,0.33,0.33,0,Lock,1,-120.0,1,1,1,,,1,train,CONFIRM_FAV
2021-07-24,Sijara Eubanks,Elise Reed,Women's Flyweight,3,63.49,63.49,Sijara Eubanks,76.72,-13.23,13.23,6,Max Value,-1,-410.0,1,1,1,,,1,train,NO_EDGE
2021-07-31,Jinh Yu Frey,Ashley Yoder,Women's Strawweight,3,49.57,49.57,Ashley Yoder,59.63,-9.2,9.2,5,Strong Value,-1,-160.0,1,1,1,,,0,train,NO_EDGE
2021-07-31,Cheyanne Buys,Gloria de Paula,Women's Strawweight,3,56.27,56.27,Cheyanne Buys,57.11,-0.84,0.84,0,Lock,-1,-145.0,1,1,1,,,1,train,NO_EDGE
2021-08-07,Tecia Torres,Angela Hill,Women's Strawweight,3,65.54,65.54,Tecia Torres,59.63,5.91,5.91,4,Value,1,-160.0,1,1,1,,,1,train,CONFIRM_FAV
2021-08-07,Karolina Kowalkiewicz,Jessica Penne,Women's Strawweight,3,53.08,53.08,Karolina Kowalkiewicz,57.11,-4.03,4.03,3,Watch,-1,-145.0,1,1,1,,,0,train,NO_EDGE
2021-08-07,Victoria Leonardo,Melissa Gatto,Women's Flyweight,3,33.04,33.04,Melissa Gatto,51.08,15.87,15.87,6,Max Value,1,-115.0,1,0,0,,,1,train,CONFIRM_DOG
2021-08-21,Bea Malecki,Josiane Nunes,Women's Bantamweight,3,46.39,46.39,Josiane Nunes,41.18,12.43,12.43,6,Max Value,1,135.0,1,0,0,,,1,train,CONFIRM_DOG
2021-08-28,JJ Aldrich,Vanessa Demopoulos,Women's Flyweight,3,78.47,78.47,JJ Aldrich,78.8,-0.34,0.34,0,Lock,-1,-475.0,1,1,1,,,1,train,NO_EDGE
2021-09-04,Molly McCann,Ji Yeon Kim,Women's Flyweight,3,71.53,71.53,Molly McCann,52.17,19.35,19.35,6,Max Value,1,-120.0,1,1,1,,,1,train,CONFIRM_FAV
2021-09-18,Emily Whitmire,Hannah Goldy,Women's Flyweight,3,43.13,43.13,Hannah Goldy,46.75,10.12,10.12,6,Max Value,1,105.0,1,0,0,,,1,train,CONFIRM_DOG
2021-09-18,Erin Blanchfield,Sarah Alpar,Women's Flyweight,3,84.69,84.69,Erin Blanchfield,77.76,6.93,6.93,4,Value,1,-435.0,1,1,1,,,1,train,CONFIRM_FAV
