date,f1_name,f2_name,weight_class,no_of_rounds,m1_prob,m2a_prob,m2a_pick,pick_novig,gap,gap_size,gap_zone,gap_zone_label,gap_direction,closing_odds,m1_m2a_agree,vegas_agree,triple_agree,m2b_win_prob,m2b_confidence,pick_won,split
2026-02-28,Imanol Rodriguez,Kevin Borjas,Flyweight,3,0.7863,0.7834,Imanol Rodriguez,0.7981,-0.0147,0.0147,1,Strong,-1,-530.0,1,1,1,0.9401,LOCK,1,test
2026-02-28,Santiago Luna,Angel Pacheco,Bantamweight,3,0.9568,0.812,Santiago Luna,0.8499,-0.038,0.038,3,Watch,-1,-770.0,1,1,1,0.9721,LOCK,1,test
2026-02-28,Jose Daniel Medina,Ryan Gandra,Middleweight,3,0.0248,0.2205,Ryan Gandra,0.8448,-0.0654,0.0654,4,Value,-1,-720.0,1,1,1,0.9654,LOCK,1,test
2026-02-28,Cristian Quinonez,Kris Moutinho,Bantamweight,3,0.9171,0.8163,Cristian Quinonez,0.8152,0.001,0.001,0,Lock,1,-560.0,1,1,1,0.9752,LOCK,1,test
2026-02-28,Douglas Silva de Andrade,Javier Reyes,Featherweight,3,0.1952,0.2924,Javier Reyes,0.672,0.0356,0.0356,3,Watch,1,-230.0,1,1,1,0.9706,LOCK,1,test
2026-02-28,Regina Tarin,Ernesta Kareckaite,Catch Weight,3,0.5432,0.4165,Ernesta Kareckaite,0.5545,0.029,0.029,2,Lean,1,-136.0,0,1,0,0.438,LOW,0,test
2026-02-28,Erik Silva,Francis Marshall,Featherweight,3,0.458,0.2304,Francis Marshall,0.8566,-0.0869,0.0869,5,Strong Value,-1,-820.0,1,1,1,0.7555,LOCK,1,test
2026-02-28,Damian Pinas,Wes Schultz,Middleweight,3,0.7978,0.6878,Damian Pinas,0.6778,0.01,0.01,1,Strong,1,-240.0,1,1,1,0.9326,LOCK,1,test
2026-02-21,Sean Strickland,Anthony Hernandez,Middleweight,5,0.3611,0.2427,Anthony Hernandez,0.7044,0.0529,0.0529,4,Value,1,-275.0,1,1,1,0.8732,LOCK,0,test
2026-02-21,Uros Medic,Geoff Neal,Welterweight,3,0.7087,0.4704,Geoff Neal,0.6565,-0.1268,0.1268,6,Max Value,-1,-215.0,0,1,0,0.3655,LOW,0,test
2026-02-21,Melquizael Costa,Dan Ige,Featherweight,3,0.6421,0.6965,Melquizael Costa,0.6778,0.0187,0.0187,1,Strong,1,-240.0,1,1,1,0.8086,LOCK,1,test
2026-02-21,Ante Delija,Serghei Spivac,Heavyweight,3,0.3563,0.3388,Serghei Spivac,0.4802,0.181,0.181,6,Max Value,1,100.0,1,0,0,0.8384,LOCK,1,test
2026-02-21,Josiah Harrell,Jacobe Smith,Welterweight,3,0.0192,0.2118,Jacobe Smith,0.7328,0.0554,0.0554,4,Value,1,-320.0,1,1,1,0.976,LOCK,1,test
2026-02-21,Michel Pereira,Zach Reese,Middleweight,3,0.6293,0.6215,Michel Pereira,0.6027,0.0188,0.0188,1,Strong,1,-168.0,1,1,1,0.7607,LOCK,1,test
2026-02-21,Carlos Leal,Chidi Njokuani,Welterweight,3,0.45,0.5292,Carlos Leal,0.5635,-0.0343,0.0343,3,Watch,-1,-142.0,0,1,0,0.3861,LOW,1,test
2026-02-21,Ode Osbourne,Alibi Idiris,Flyweight,3,0.4627,0.4102,Alibi Idiris,0.5635,0.0264,0.0264,2,Lean,1,-142.0,1,1,1,0.6159,MEDIUM,1,test
2026-02-21,Luis Gurule,Alden Coria,Flyweight,3,0.2252,0.2243,Alden Coria,0.7654,0.0103,0.0103,1,Strong,1,-390.0,1,1,1,0.9588,LOCK,1,test
2026-02-21,Punahele Soriano,Ramiz Brahimaj,Welterweight,3,0.627,0.598,Punahele Soriano,0.5635,0.0345,0.0345,3,Watch,1,-142.0,1,1,1,0.7649,LOCK,1,test
2026-02-21,Phil Rowe,Jean-Paul Lebosnoyani,Welterweight,3,0.4785,0.3886,Jean-Paul Lebosnoyani,0.6464,-0.035,0.035,3,Watch,-1,-205.0,1,1,1,0.5646,MEDIUM,1,test
2026-02-21,Yadier del Valle,Jordan Leavitt,Featherweight,3,0.6791,0.7153,Yadier del Valle,0.7711,-0.0558,0.0558,4,Value,-1,-405.0,1,1,1,0.858,LOCK,0,test
2026-02-07,Mario Bautista,Vinicius Oliveira,Bantamweight,5,0.4902,0.5647,Mario Bautista,0.537,0.0277,0.0277,2,Lean,1,-126.0,0,1,0,0.489,LOW,1,test
