date,f1_name,f2_name,weight_class,no_of_rounds,m1_prob,m2a_prob,m2a_pick,pick_novig,gap,gap_size,gap_zone,gap_zone_label,gap_direction,closing_odds,m1_m2a_agree,vegas_agree,triple_agree,m2b_win_prob,m2b_confidence,pick_won,split,agreement_type,corner_swapped
2018-12-08,Valentina Shevchenko,Joanna Jedrzejczyk,Women's Flyweight,5,60.54,60.54,Valentina Shevchenko,72.41,-11.88,11.88,6,Max Value,-1,-300.0,1,1,1,,,1,train,NO_EDGE,0
2018-12-29,Cat Zingano,Megan Anderson,Women's Featherweight,3,55.84,55.84,Cat Zingano,55.43,0.41,0.41,0,Lock,1,-130.0,1,1,1,,,0,train,CONFIRM_FAV,0
2018-12-29,Amanda Nunes,Cris Cyborg,Women's Featherweight,5,81.68,81.68,Amanda Nunes,34.93,46.75,46.75,6,Max Value,1,175.0,1,0,0,,,1,train,CONFIRM_DOG,1
2019-01-19,Ariane Lipski,Joanne Calderwood,Women's Flyweight,3,39.39,39.39,Joanne Calderwood,30.65,29.96,29.96,6,Max Value,1,215.0,1,0,0,,,1,train,CONFIRM_DOG,1
2019-01-19,Paige VanZant,Rachael Ostovich,Women's Flyweight,3,69.85,69.85,Paige VanZant,61.87,7.98,7.98,4,Value,1,-175.0,1,1,1,,,1,train,CONFIRM_FAV,0
2019-02-02,Mara Romero Borella,Taila Santos,Women's Flyweight,3,47.67,47.67,Taila Santos,66.36,-14.03,14.03,6,Max Value,-1,-225.0,1,1,1,,,0,train,NO_EDGE,0
2019-02-02,Livinha Souza,Sarah Frota,Women's Strawweight,3,52.87,52.87,Livinha Souza,66.9,-14.03,14.03,6,Max Value,-1,-230.0,1,1,1,,,1,train,NO_EDGE,0
2019-02-09,Montana De La Rosa,Nadia Kassem,Women's Flyweight,3,56.15,56.15,Montana De La Rosa,68.89,-12.74,12.74,6,Max Value,-1,-250.0,1,1,1,,,1,train,NO_EDGE,0
2019-02-17,Andrea Lee,Ashlee Evans-Smith,Women's Flyweight,3,61.74,61.74,Andrea Lee,62.79,-1.06,1.06,1,Strong,-1,-185.0,1,1,1,,,1,train,NO_EDGE,1
2019-02-17,Cynthia Calvillo,Cortney Casey,Women's Strawweight,3,67.14,67.14,Cynthia Calvillo,75.5,-8.36,8.36,5,Strong Value,-1,-355.0,1,1,1,,,1,train,NO_EDGE,1
2019-02-17,Emily Whitmire,Alexandra Albu,Women's Strawweight,3,59.12,59.12,Emily Whitmire,50.0,9.12,9.12,5,Strong Value,1,-110.0,1,0,0,,,1,train,CONFIRM_DOG,1
2019-02-23,Veronica Macedo,Gillian Robertson,Women's Flyweight,3,37.8,37.8,Gillian Robertson,62.39,-0.18,0.18,0,Lock,-1,-180.0,1,1,1,,,1,train,NO_EDGE,0
2019-02-23,Liz Carmouche,Lucie Pudilova,Women's Flyweight,3,68.9,68.9,Liz Carmouche,58.82,10.08,10.08,6,Max Value,1,-155.0,1,1,1,,,1,train,CONFIRM_FAV,0
2019-03-02,Weili Zhang,Tecia Torres,Women's Strawweight,3,46.85,46.85,Tecia Torres,42.89,10.26,10.26,6,Max Value,1,125.0,1,0,0,,,0,train,CONFIRM_DOG,1
2019-03-02,Hannah Cifers,Polyana Viana,Women's Strawweight,3,48.25,48.25,Polyana Viana,71.47,-19.72,19.72,6,Max Value,-1,-280.0,1,1,1,,,0,train,NO_EDGE,1
2019-03-02,Macy Chiasson,Gina Mazany,Women's Bantamweight,3,64.50999999999999,64.50999999999999,Macy Chiasson,81.22,-16.71,16.71,6,Max Value,-1,-525.0,1,1,1,,,1,train,NO_EDGE,1
2019-03-09,Yana Kunitskaya,Marion Reneau,Women's Bantamweight,3,58.18,58.18,Yana Kunitskaya,67.42,-9.24,9.24,5,Strong Value,-1,-235.0,1,1,1,,,1,train,NO_EDGE,1
2019-03-16,Molly McCann,Priscila Cachoeira,Women's Flyweight,3,65.34,65.34,Molly McCann,61.87,3.47,3.47,3,Watch,1,-175.0,1,1,1,,,1,train,CONFIRM_FAV,0
2019-03-23,Maycee Barber,JJ Aldrich,Women's Flyweight,3,72.81,72.81,Maycee Barber,71.07,1.74,1.74,1,Strong,1,-275.0,1,1,1,,,1,train,CONFIRM_FAV,0
2019-03-23,Randa Markos,Angela Hill,Women's Strawweight,3,62.93,62.93,Randa Markos,41.18,21.75,21.75,6,Max Value,1,135.0,1,0,0,,,1,train,CONFIRM_DOG,0
2019-03-23,Jennifer Maia,Alexis Davis,Women's Flyweight,3,49.5,49.5,Alexis Davis,57.11,-6.61,6.61,4,Value,-1,-145.0,1,1,1,,,0,train,NO_EDGE,1
2019-03-30,Maryna Moroz,Sabina Mazo,Women's Flyweight,3,56.79,56.79,Maryna Moroz,39.6,17.2,17.2,6,Max Value,1,145.0,1,0,0,,,1,train,CONFIRM_DOG,1
2019-03-30,Marina Rodriguez,Jessica Aguilar,Women's Strawweight,3,78.47,78.47,Marina Rodriguez,75.21,3.26,3.26,3,Watch,1,-350.0,1,1,1,,,1,train,CONFIRM_FAV,0
2019-03-30,Karolina Kowalkiewicz,Michelle Waterson,Women's Strawweight,3,48.58,48.58,Michelle Waterson,40.37,11.05,11.05,6,Max Value,1,140.0,1,0,0,,,1,train,CONFIRM_DOG,0
