name,ufc_wins,ufc_losses,sherdog_wins,sherdog_losses,sherdog_total,reasons
Christian Rodriguez,12,4,0,1,1,sh_wins(0)<ufc_wins(12); sh_total(1)<3 with ufc_wins=12
Claudio Puelles,13,5,12,5,17,sh_wins(12)<ufc_wins(13)
Cody Gibson,22,12,21,12,33,sh_wins(21)<ufc_wins(22)
Cole Miller,21,11,0,1,1,sh_wins(0)<ufc_wins(21); sh_total(1)<3 with ufc_wins=21
Court McGee,23,14,22,14,36,sh_wins(22)<ufc_wins(23)
Daniel Santos,14,2,5,2,7,sh_wins(5)<ufc_wins(14)
Daniil Donchenko,14,2,13,2,15,sh_wins(13)<ufc_wins(14)
Demetrious Johnson,27,3,25,4,30,sh_wins(25)<ufc_wins(27)
Dhiego Lima,17,9,15,9,24,sh_wins(15)<ufc_wins(17)
Diego Rivas,10,2,7,2,9,sh_wins(7)<ufc_wins(10)
Diego Sanchez,31,13,30,14,44,sh_wins(30)<ufc_wins(31)
Dooho Choi,16,4,13,2,16,sh_wins(13)<ufc_wins(16)
Ed Herman,27,16,26,16,43,sh_wins(26)<ufc_wins(27)
Erick Silva,19,9,0,1,1,sh_wins(0)<ufc_wins(19); sh_total(1)<3 with ufc_wins=19
Erik Silva,9,4,0,1,1,sh_wins(0)<ufc_wins(9); sh_total(1)<3 with ufc_wins=9
Felipe Silva,8,2,0,1,1,sh_wins(0)<ufc_wins(8); sh_total(1)<3 with ufc_wins=8
Felipe dos Santos,8,3,0,1,1,sh_wins(0)<ufc_wins(8); sh_total(1)<3 with ufc_wins=8
