fighter_name,has_ufc_stats_url,ufc_stats_url
Cody Gibson,True,http://ufcstats.com/fighter-details/700a674c042b7a96
Cody Haddon,True,http://ufcstats.com/fighter-details/8e6654e9f0461b8f
Cody Stamann,True,http://ufcstats.com/fighter-details/bf7ad5628363eec9
Colby Covington,True,http://ufcstats.com/fighter-details/dc9572dd6ec74859
Colby Thicknesse,True,http://ufcstats.com/fighter-details/ed7d329d7c29428d
Connor Matthews,True,http://ufcstats.com/fighter-details/36e78278a77006d4
Cortavious Romious,True,http://ufcstats.com/fighter-details/8173f134396cb971
Cory McKenna,True,http://ufcstats.com/fighter-details/3351aa64aa83c4d9
Cory Sandhagen,True,http://ufcstats.com/fighter-details/65f09bacd3957381
Court McGee,True,http://ufcstats.com/fighter-details/523fa774700d7d3f
Cristian Quinonez,True,http://ufcstats.com/fighter-details/7debc13b36343605
Cub Swanson,True,http://ufcstats.com/fighter-details/d247691a6c0e9034
Curtis Blaydes,True,http://ufcstats.com/fighter-details/fa6796c55d6c5440
Cynthia Calvillo,True,http://ufcstats.com/fighter-details/98215d037be5bcb7
Da Woon Jung,True,http://ufcstats.com/fighter-details/74f9448b97bf8bec
Da'Mon Blackshear,True,http://ufcstats.com/fighter-details/da22387a0407a2dc
Damian Pinas,True,http://ufcstats.com/fighter-details/fdd22e895a70e4a8
Damir Hadzovic,True,http://ufcstats.com/fighter-details/38c626ca912c7bac
Damir Ismagulov,True,http://ufcstats.com/fighter-details/135d124172a0bea3
Damon Jackson,True,http://ufcstats.com/fighter-details/29af297d9f1de0f8
Dan Argueta,True,http://ufcstats.com/fighter-details/e4ba58725825412d
Dan Hooker,True,http://ufcstats.com/fighter-details/193b9d1858bc4df3
Dan Ige,True,http://ufcstats.com/fighter-details/82a5152216251682
Daniel Barez,True,http://ufcstats.com/fighter-details/e8fe9c15d348e778
Daniel Frunza,True,http://ufcstats.com/fighter-details/7cec3c4a5e7b6d68
Daniel Lacerda,True,http://ufcstats.com/fighter-details/31bb0772f21cabd8
Daniel Marcos,True,http://ufcstats.com/fighter-details/850266b3dc4e506e
Daniel Pineda,True,http://ufcstats.com/fighter-details/361d49960a196976
